# Amtliche Adressen für die Postleitzahl 25693
#
# Heruntergeladen aus dem INSPIRE WFS-Downloaddienst des Landesamtes für
# Vermessung und Geoinformation Schleswig-Holstein. Die Daten stehen unter
# der CC-BY-4.0-Lizenz.
#
# Datenquelle: © GeoBasis-DE/LVermGeo SH/CC BY 4.0
# Mehr Informationen: https://github.com/hriebl/sh-addresses
# Stichtag: 03.04.2025
uri,plz,stadt,strasse,nummer,zusatz,lat,lon
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEE,25693,Volsemenhusen,Blumenstraße,1,,54.02517428,9.10523841
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEF,25693,Volsemenhusen,Blumenstraße,5,,54.0256703,9.10513292
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEG,25693,Volsemenhusen,Blumenstraße,7,,54.02593625,9.10499048
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEH,25693,Volsemenhusen,Blumenstraße,9,,54.02614115,9.10501513
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEI,25693,Volsemenhusen,Eescher Weg,1,,54.02264297,9.11198095
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEJ,25693,Volsemenhusen,Eescher Weg,10,,54.02315413,9.11256305
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEK,25693,Volsemenhusen,Eescher Weg,11,,54.02339168,9.1122792
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEL,25693,Volsemenhusen,Eescher Weg,13,,54.02335099,9.11276095
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEM,25693,Volsemenhusen,Eescher Weg,2,,54.02240691,9.11226472
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEN,25693,Volsemenhusen,Eescher Weg,3,,54.02282493,9.11200164
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEO,25693,Volsemenhusen,Eescher Weg,4,,54.02261788,9.11238189
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEP,25693,Volsemenhusen,Eescher Weg,5,,54.02300836,9.11203997
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEQ,25693,Volsemenhusen,Eescher Weg,6,,54.0228002,9.11243739
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGER,25693,Volsemenhusen,Eescher Weg,7,,54.02321139,9.1119863
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGES,25693,Volsemenhusen,Eescher Weg,8,,54.02294216,9.1124785
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGET,25693,Volsemenhusen,Eescher Weg,9,,54.02337663,9.11197677
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEU,25693,Volsemenhusen,Fliederweg,1,,54.02570372,9.10424264
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEV,25693,Volsemenhusen,Fliederweg,2,,54.02562382,9.103842
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEW,25693,Volsemenhusen,Fliederweg,3,,54.02551058,9.10422051
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEX,25693,Volsemenhusen,Fliederweg,4,,54.02530668,9.1038829
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEY,25693,Volsemenhusen,Fliederweg,5,,54.02517697,9.10432764
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGEZ,25693,Volsemenhusen,Fliederweg,6,,54.02506102,9.1038918
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGF0,25693,Volsemenhusen,Gudendorf-Feld,1,,54.03773202,9.09183705
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGF1,25693,Volsemenhusen,Gudendorf-Feld,2,,54.03842511,9.08675624
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGF2,25693,Volsemenhusen,Gudendorf-Feld,3,,54.03722375,9.09147372
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGF3,25693,Volsemenhusen,Gudendorf-Feld,4,,54.03809387,9.08514931
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGF4,25693,Volsemenhusen,Gudendorf-Feld,5,,54.03716345,9.09158042
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGF5,25693,Volsemenhusen,Gudendorf-Feld,7,,54.03415675,9.0822739
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGF6,25693,Volsemenhusen,Hauptstraße,1,,54.01771199,9.11245712
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGF7,25693,Volsemenhusen,Hauptstraße,1,b,54.01804083,9.11224904
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGF8,25693,Volsemenhusen,Hauptstraße,1,c,54.01872449,9.11187135
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGF9,25693,Volsemenhusen,Hauptstraße,11,,54.02519795,9.10777047
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFA,25693,Volsemenhusen,Hauptstraße,7,,54.02403334,9.10877733
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFB,25693,Volsemenhusen,Hauptstraße,9,,54.02434088,9.10837727
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFC,25693,Volsemenhusen,Norderweg,1,,54.02617019,9.10440049
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFD,25693,Volsemenhusen,Norderweg,1,c,54.02620115,9.10541521
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFE,25693,Volsemenhusen,Norderweg,10,,54.02640509,9.10359566
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFF,25693,Volsemenhusen,Norderweg,2,,54.02647798,9.10574512
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFG,25693,Volsemenhusen,Norderweg,3,,54.02605256,9.10363663
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFH,25693,Volsemenhusen,Norderweg,4,,54.02642126,9.10535913
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFI,25693,Volsemenhusen,Norderweg,4,a,54.02660141,9.10481245
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFJ,25693,Volsemenhusen,Norderweg,6,,54.02657291,9.10434184
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFK,25693,Volsemenhusen,Norderweg,7,,54.02596086,9.10304465
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFL,25693,Volsemenhusen,Norderweg,8,,54.02635804,9.10390276
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFM,25693,Volsemenhusen,Österstraße,1,,54.0259288,9.10852867
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFN,25693,Volsemenhusen,Österstraße,11,,54.01972501,9.12276294
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFO,25693,Volsemenhusen,Österstraße,2,,54.02556214,9.10865984
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFP,25693,Volsemenhusen,Österstraße,3,,54.02604094,9.10976775
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0003AGFQ,25693,Volsemenhusen,Österstraße,4,,54.02572522,9.10898582
