# Amtliche Adressen für die Postleitzahl 24632
#
# Heruntergeladen aus dem INSPIRE WFS-Downloaddienst des Landesamtes für
# Vermessung und Geoinformation Schleswig-Holstein. Die Daten stehen unter
# der CC-BY-4.0-Lizenz.
#
# Datenquelle: © GeoBasis-DE/LVermGeo SH/CC BY 4.0
# Mehr Informationen: https://github.com/hriebl/sh-addresses
# Stichtag: 03.04.2025
uri,plz,stadt,strasse,nummer,zusatz,lat,lon
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkA,24632,Lentföhrden,An de Schaapsbrüg,3,,53.86625976,9.8876676
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkB,24632,Lentföhrden,An de Schaapsbrüg,5,,53.86643589,9.8875503
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkC,24632,Lentföhrden,An de Schaapsbrüg,6,,53.86421249,9.88479075
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkD,24632,Lentföhrden,An der Au,1,a,53.87274929,9.88664475
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkE,24632,Lentföhrden,An der Au,1,b,53.87271979,9.88690654
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkF,24632,Lentföhrden,An der Au,10,,53.87206738,9.88672501
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkG,24632,Lentföhrden,An der Au,10,a,53.87209862,9.88634149
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkH,24632,Lentföhrden,An der Au,11,,53.87236748,9.88663575
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkI,24632,Lentföhrden,An der Au,11,a,53.87243234,9.88635984
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkJ,24632,Lentföhrden,An der Au,12,,53.87269806,9.88599474
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkK,24632,Lentföhrden,An der Au,2,,53.87268794,9.8872956
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkL,24632,Lentföhrden,An der Au,3,,53.87269885,9.88767308
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkM,24632,Lentföhrden,An der Au,4,,53.87273538,9.88795965
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkN,24632,Lentföhrden,An der Au,5,,53.87233981,9.88800508
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkO,24632,Lentföhrden,An der Au,6,,53.87234328,9.88769321
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkP,24632,Lentföhrden,An der Au,7,,53.87236268,9.88727728
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkQ,24632,Lentföhrden,An der Au,7,a,53.87205541,9.88747129
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkR,24632,Lentföhrden,An der Au,8,,53.87197693,9.88710517
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkS,24632,Lentföhrden,An der Au,9,,53.87187389,9.88660827
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkT,24632,Lentföhrden,An der Bahn,1,,53.88056984,9.88900309
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkU,24632,Lentföhrden,An der Bahn,1,a,53.88069376,9.88952111
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkV,24632,Lentföhrden,An der Bahn,2,,53.88112029,9.88903708
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkW,24632,Lentföhrden,An'n Tiebarg,1,,53.87354862,9.88580522
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkX,24632,Lentföhrden,An'n Tiebarg,10,,53.87327696,9.88446495
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkY,24632,Lentföhrden,An'n Tiebarg,11,,53.87398049,9.88404997
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkZ,24632,Lentföhrden,An'n Tiebarg,12,,53.87429029,9.88432807
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAks,24632,Lentföhrden,Am Bahnhof,1,,53.87625395,9.88872583
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkt,24632,Lentföhrden,Am Bahnhof,3,,53.8760847,9.88919603
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAku,24632,Lentföhrden,Am Bahnhof,3,a,53.87602111,9.888861
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkv,24632,Lentföhrden,Am Bahnhof,4,,53.87613831,9.88944473
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkw,24632,Lentföhrden,Am Bahnhof,5,,53.87641387,9.889419
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAky,24632,Lentföhrden,An de Schaapsbrüg,1,,53.8660769,9.88760591
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAkz,24632,Lentföhrden,An de Schaapsbrüg,2,,53.86624378,9.88800541
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAl0,24632,Lentföhrden,An'n Tiebarg,14,,53.87473231,9.8838965
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAl1,24632,Lentföhrden,An'n Tiebarg,2,,53.87366988,9.8855234
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAl2,24632,Lentföhrden,An'n Tiebarg,3,,53.87380367,9.88541083
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAl3,24632,Lentföhrden,An'n Tiebarg,4,,53.87394124,9.88527727
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAl4,24632,Lentföhrden,An'n Tiebarg,5,,53.87406076,9.88518129
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0001cAl5,24632,Lentföhrden,An'n Tiebarg,6,,53.87417835,9.88504657
