# Amtliche Adressen für die Postleitzahl 24860
#
# Heruntergeladen aus dem INSPIRE WFS-Downloaddienst des Landesamtes für
# Vermessung und Geoinformation Schleswig-Holstein. Die Daten stehen unter
# der CC-BY-4.0-Lizenz.
#
# Datenquelle: © GeoBasis-DE/LVermGeo SH/CC BY 4.0
# Mehr Informationen: https://github.com/hriebl/sh-addresses
# Stichtag: 03.04.2025
uri,plz,stadt,strasse,nummer,zusatz,lat,lon
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKA,24860,Wellspang,Am Sportplatz,7,,54.60439578,9.5910668
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKB,24860,Wellspang,Am Sportplatz,9,,54.60429699,9.59110799
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKC,24860,Wellspang,Am Südhang,1,,54.60094596,9.58143756
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKD,24860,Wellspang,Am Südhang,10,,54.60104556,9.57863249
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKE,24860,Wellspang,Am Südhang,11,,54.60085166,9.57865133
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKF,24860,Wellspang,Am Südhang,12,,54.60105378,9.57841302
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKG,24860,Wellspang,Am Südhang,13,,54.60086641,9.57832608
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKH,24860,Wellspang,Am Südhang,2,,54.60129366,9.58147589
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKI,24860,Wellspang,Am Südhang,2,a,54.60124544,9.58075805
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKJ,24860,Wellspang,Am Südhang,3,a,54.60111309,9.58104191
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKK,24860,Wellspang,Am Südhang,3,b,54.60102577,9.58093692
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKL,24860,Wellspang,Am Südhang,4,,54.60114943,9.58028508
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKM,24860,Wellspang,Am Südhang,5,,54.60096757,9.58057069
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKN,24860,Wellspang,Am Südhang,6,,54.60112722,9.579701
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKO,24860,Wellspang,Am Südhang,7,,54.60092998,9.58014632
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKP,24860,Wellspang,Am Südhang,8,,54.60104345,9.57923598
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKQ,24860,Wellspang,Am Südhang,9,,54.60088456,9.57962437
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKR,24860,Wellspang,Ammelücken,2,a,54.60240654,9.57878561
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKS,24860,Wellspang,Ammelücken,2,b,54.60213973,9.57881054
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKT,24860,Wellspang,Ammelücken,2,c,54.60188463,9.57895764
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKU,24860,Wellspang,Ammelücken,2,d,54.60167329,9.57903636
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKV,24860,Wellspang,Ammelücken,2,e,54.60161029,9.57905714
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKW,24860,Wellspang,Ammelücken,3,,54.60190397,9.58005667
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKX,24860,Wellspang,Ammelücken,4,a,54.60139421,9.57916463
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKY,24860,Wellspang,Ammelücken,5,,54.60169406,9.57995366
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKZ,24860,Wellspang,Ammelücken,6,,54.60185328,9.57951836
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKv,24860,Wellspang,Am Sportplatz,1,,54.6047441,9.59094842
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKw,24860,Wellspang,Am Sportplatz,2,,54.60472313,9.59063044
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKx,24860,Wellspang,Am Sportplatz,3,,54.60463341,9.59099654
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKy,24860,Wellspang,Am Sportplatz,4,,54.60452381,9.59065972
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKz,24860,Wellspang,Am Sportplatz,5,,54.60452312,9.59104335
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbL0,24860,Wellspang,Ammelücken,7,,54.60145114,9.58003349
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbL1,24860,Wellspang,Ammelücken,8,,54.60165887,9.57958148
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbL2,24860,Wellspang,Augustenburger Straße,1,,54.59863347,9.58291629
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbL3,24860,Wellspang,Augustenburger Straße,10,,54.59949313,9.58317642
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbL4,24860,Wellspang,Augustenburger Straße,11,,54.59993321,9.58252409
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbL5,24860,Wellspang,Augustenburger Straße,12,,54.59967736,9.58315096
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbL6,24860,Wellspang,Augustenburger Straße,13,,54.59988623,9.58203768
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbL7,24860,Wellspang,Augustenburger Straße,14,,54.5998687,9.58312894
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbL8,24860,Wellspang,Augustenburger Straße,15,,54.59989888,9.5817375
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbL9,24860,Wellspang,Augustenburger Straße,16,,54.60009815,9.58324146
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbLA,24860,Wellspang,Bergstraße,11,,54.60157106,9.58142913
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbLB,24860,Wellspang,Bergstraße,12,,54.60245791,9.58111188
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbLC,24860,Wellspang,Bergstraße,14,a,54.60216161,9.58119501
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbLD,24860,Wellspang,Bergstraße,14,b,54.60206453,9.58124636
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbLE,24860,Wellspang,Bergstraße,16,,54.60202071,9.58087854
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbLF,24860,Wellspang,Bergstraße,18,,54.60186381,9.58066526
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbLG,24860,Wellspang,Bergstraße,2,a,54.60275967,9.58098743
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbLH,24860,Wellspang,Bergstraße,2,b,54.60270137,9.58102143
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbLI,24860,Wellspang,Bergstraße,22,,54.60173499,9.58112754
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbLJ,24860,Wellspang,Bergstraße,24,,54.60145632,9.58096769
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbLK,24860,Wellspang,Bergstraße,3,,54.60285542,9.58157123
