# Amtliche Adressen für die Postleitzahl 24405
#
# Heruntergeladen aus dem INSPIRE WFS-Downloaddienst des Landesamtes für
# Vermessung und Geoinformation Schleswig-Holstein. Die Daten stehen unter
# der CC-BY-4.0-Lizenz.
#
# Datenquelle: © GeoBasis-DE/LVermGeo SH/CC BY 4.0
# Mehr Informationen: https://github.com/hriebl/sh-addresses
# Stichtag: 03.04.2025
uri,plz,stadt,strasse,nummer,zusatz,lat,lon
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbGY,24405,Böelnorderfeld,Böelnorderfeld,1,,54.6609396,9.72175046
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbGZ,24405,Böelnorderfeld,Böelnorderfeld,2,,54.6619646,9.71707961
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbHt,24405,Böelnorderfeld,Borrishaag,1,,54.66265893,9.70034462
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKm,24405,Böelnorderfeld,Thiesholzer Weg,2,,54.66247584,9.69302737
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKp,24405,Böelnorderfeld,Thiesholzer Weg,7,,54.65975041,9.6909644
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKq,24405,Böelnorderfeld,Thiesholzer Weg,9,,54.66107477,9.6912852
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKs,24405,Böelnorderfeld,Stoltoft,1,,54.66304534,9.70530691
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKt,24405,Böelnorderfeld,Stoltoft,3,,54.66208303,9.70638995
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002NbKu,24405,Böelnorderfeld,Stoltoft,4,,54.66434701,9.70420432
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2A,24405,Böelnorderfeld,Am Waschdiek,2,a,54.67234914,9.70605295
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2B,24405,Böelnorderfeld,Am Waschdiek,2,b,54.6728225,9.70547891
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2C,24405,Böelnorderfeld,Am Waschdiek,3,,54.67224267,9.70553872
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2D,24405,Böelnorderfeld,Am Waschdiek,4,,54.67319878,9.70527044
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2E,24405,Böelnorderfeld,Am Waschdiek,5,,54.67256776,9.70518667
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2F,24405,Böelnorderfeld,Am Waschdiek,5,a,54.67276171,9.70482825
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2G,24405,Böelnorderfeld,Am Waschdiek,6,,54.673336,9.70509737
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2H,24405,Böelnorderfeld,Am Waschdiek,7,,54.67303741,9.70474603
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2I,24405,Böelnorderfeld,Am Waschdiek,8,,54.67360653,9.70472912
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2J,24405,Böelnorderfeld,Am Waschdiek,8,a,54.67373344,9.70452203
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2K,24405,Böelnorderfeld,Am Waschdiek,9,,54.67328463,9.70472308
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2L,24405,Böelnorderfeld,An der Hochschule,1,,54.67644854,9.72012632
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2M,24405,Böelnorderfeld,An der Hochschule,10,,54.67702326,9.71850903
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2N,24405,Böelnorderfeld,An der Hochschule,11,,54.67678194,9.71827581
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2O,24405,Böelnorderfeld,An der Hochschule,12,,54.67701623,9.71824861
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2P,24405,Böelnorderfeld,An der Hochschule,2,,54.67705969,9.71986953
https://registry.gdi-de.org/id/de.sh.inspire.ad.alkis/Address_DESHPDHK0002Ng2Q,24405,Böelnorderfeld,An der Hochschule,3,,54.67661412,9.72002446
